ProjNum,Date,Hours,Stage,Complete?
502,10/13/2010,1,3,0
496,10/7/2010,1,3,0
504,10/14/2010,1.75,2,0
487,9/1/2010,0.75,1,0
470,9/15/2010,1.5,,0
496,9/20/2010,1.5,1,0
470,9/14/2010,3,1,0
491,9/7/2010,0.75,1,0
509,10/25/2010,1.75,2,0
504,10/13/2010,0.75,1,0
487,9/3/2010,0.75,2,0
508,10/25/2010,0.75,2,0
503,10/14/2010,1.25,4,1
500,10/1/2010,1,3,0
487,9/7/2010,1.25,3,0
488,10/5/2010,2.5,3,0
470,9/3/2010,,3,0
488,9/9/2010,0.75,2,0
501,10/22/2010,1.25,5,1
496,9/24/2010,2.25,3,0
511,10/26/2010,0.75,1,0
458,9/6/2010,2,5,1
470,9/13/2010,2.5,3,0
481,9/1/2010,2.25,3,0
499,10/4/2010,0.75,2,0
470,9/24/2010,0.75,5,1
505,11/3/2010,2.5,3,0
504,10/26/2010,1.5,3,0
499,9/24/2010,1,1,0
504,11/3/2010,2.5,3,0
498,9/27/2010,0.75,2,0
487,9/10/2010,0.75,3,0
493,9/21/2010,1,4,1
505,10/25/2010,1.25,2,0
505,10/20/2010,1.5,2,0
470,9/9/2010,0.75,3,0
488,10/13/2010,2.25,3,0
509,10/22/2010,0.75,1,0
491,9/9/2010,1.25,4,1
498,10/28/2010,1.5,5,0
500,9/28/2010,0.75,1,0
501,10/18/2010,1,4,1
505,10/19/2010,1.5,2,0
506,10/19/2010,0.75,1,0
505,10/22/2010,1.25,2,0
494,9/14/2010,1,1,0
504,10/25/2010,3.25,3,0
511,11/2/2010,0.75,2,0
488,10/1/2010,0.75,3,0
511,10/28/2010,1.5,2,0
486,9/8/2010,1.75,3,0
489,9/14/2010,1.25,4,1
502,10/15/2010,1,4,1
496,9/30/2010,,3,0
489,9/3/2010,0.5,1,0
504,10/27/2010,1.5,3,0
470,9/8/2010,1.5,3,0
482,9/3/2010,2,3,0
514,11/3/2010,0.75,2,0
490,9/6/2010,1,1,0
496,10/13/2010,2.25,3,0
486,9/10/2010,0.75,4,1
488,9/24/2010,2,2,0
504,10/19/2010,0.75,2,0
485,9/1/2010,0.75,2,0
487,9/13/2010,0.75,4,1
511,11/1/2010,2,2,0
510,10/25/2010,1,1,0
470,9/17/2010,1.75,4,0
488,9/6/2010,1.75,2,0
498,10/25/2010,0.75,2,0
502,10/18/2010,1,5,1
488,10/6/2010,1.5,3,0
501,10/4/2010,2,2,0
498,11/3/2010,2.5,3,0
498,9/24/2010,1.75,1,0
506,10/25/2010,,4,1
470,9/1/2010,1.25,2,0
512,11/3/2010,1,3,0
489,9/6/2010,1.25,2,0
505,10/29/2010,2.75,3,0
488,9/29/2010,2,3,0
504,10/21/2010,1.25,2,0
496,9/22/2010,0.75,2,0
488,9/2/2010,1.75,1,0
487,9/6/2010,0.5,2,0
497,9/30/2010,1.25,4,1
509,11/3/2010,2.5,3,0
498,10/6/2010,2,2,0
481,9/9/2010,2.5,4,0
481,9/8/2010,0.75,3,0
470,9/6/2010,2,3,0
502,10/8/2010,0.75,5,0
499,9/30/2010,1.25,2,0
509,11/4/2010,1.5,3,0
496,10/6/2010,3,3,0
504,10/28/2010,0.75,3,0
486,9/3/2010,0.75,2,0
505,10/27/2010,0.75,2,0
488,9/14/2010,0.75,2,0
481,9/7/2010,3,3,0
490,9/13/2010,1.75,3,0
501,10/6/2010,2.5,,0
488,9/20/2010,1.5,2,0
481,9/13/2010,1,4,1
481,9/2/2010,3,3,0
501,10/13/2010,2.5,4,0
498,11/4/2010,1.25,3,0
486,9/2/2010,0.75,2,0
489,9/10/2010,2.5,3,0
470,9/20/2010,1.75,4,1
496,10/15/2010,2,4,1
500,10/4/2010,0.75,4,1
486,9/6/2010,3,3,0
506,10/22/2010,1,3,0
494,9/21/2010,0.75,4,1
509,11/2/2010,1.75,3,0
499,9/27/2010,1.75,2,0
490,9/15/2010,2.25,4,1
502,10/5/2010,1,1,0
501,10/1/2010,1.75,1,0
511,10/29/2010,0.75,2,0
488,10/4/2010,1,3,0
490,9/14/2010,1,4,0
488,9/28/2010,1.75,3,0
506,10/20/2010,1,3,0
511,11/4/2010,1.75,2,0
508,10/22/2010,1,1,0
496,9/29/2010,3,3,0
507,10/26/2010,1,3,0
500,9/29/2010,0.75,2,0
495,9/20/2010,0.75,2,0
499,10/1/2010,2.5,3,0
504,10/18/2010,2,2,0
512,11/1/2010,0.75,2,0
498,11/1/2010,1.75,3,0
497,9/23/2010,0.75,1,0
489,9/9/2010,2.25,3,0
508,10/29/2010,1,4,1
509,10/26/2010,1.5,2,0
489,9/8/2010,2,2,0
482,9/6/2010,0.75,4,1
493,9/15/2010,0.75,2,0
498,9/29/2010,2,2,0
512,10/29/2010,1,1,0
495,9/17/2010,0.75,4,0
496,10/4/2010,1.25,3,0
498,10/13/2010,1.75,2,0
502,10/6/2010,0.75,2,0
488,9/27/2010,0.75,3,0
485,9/6/2010,0.75,4,1
496,10/8/2010,1.25,3,0
486,9/13/2010,0.75,5,1
509,11/1/2010,0.75,2,0
510,10/26/2010,0.75,2,0
514,11/4/2010,0.75,4,1
497,9/28/2010,0.75,3,0
458,9/1/2010,1.5,4,1
507,10/25/2010,1.25,2,0
508,10/27/2010,0.75,3,0
488,10/8/2010,1.75,4,0
495,9/21/2010,1,4,1
488,9/16/2010,1,2,0
501,10/8/2010,2,4,0
510,11/1/2010,1,4,1
504,10/22/2010,1,3,0
503,10/13/2010,0.75,5,0
505,10/18/2010,1.5,1,0
488,9/13/2010,1.5,2,0
507,10/28/2010,1.25,4,1
507,10/27/2010,0.75,5,0
470,9/10/2010,2,3,0
485,9/2/2010,0.75,3,0
504,10/29/2010,2.75,3,0
490,9/7/2010,2,2,0
489,9/15/2010,1,5,1
513,10/29/2010,,1,0
488,10/14/2010,1.5,4,1
481,9/6/2010,1.75,3,0
498,10/21/2010,1.25,5,0
514,11/2/2010,0.75,1,0
494,9/20/2010,0.75,3,0
498,10/4/2010,1.5,2,0
504,11/1/2010,2.25,3,0
490,9/9/2010,1.75,2,0
510,10/28/2010,0.75,3,0
493,9/20/2010,2,3,0
503,10/7/2010,0.75,1,0
490,9/10/2010,0.75,2,0
493,9/13/2010,0.75,1,0
497,9/27/2010,0.75,3,0
499,9/29/2010,1.75,2,0
494,9/16/2010,1,3,0
